cidade;ano;prev;lat;lon
joao_pessoa;2011;0.083417;-7.06;-35.55
macapa;2011;0.060000;1.41;-51.77
maceio;2011;0.086957;-9.71;-35.73
manaus;2011;0.068486;-3.07;-61.66
natal;2011;0.088500;-5.22;-36.52
palmas;2011;0.041958;-10.25;-48.25
porto_alegre;2011;0.086806;-30.01;-51.22
porto_velho;2011;0.057000;-11.22;-62.80
recife;2011;0.089782;-8.28;-35.07
rio_branco;2011;0.066434;-8.77;-70.55
rio_de_janeiro;2011;0.086327;-22.84;-43.15
salvador;2011;0.077461;-12.96;-38.51
sao_luis;2011;0.075162;-2.55;-44.30
sao_paulo;2011;0.084458;-23.55;-46.64
teresina;2011;0.061969;-8.28;-43.68
vitoria;2011;0.081000;-19.19;-40.34
aracaju;2012;0.077519;-10.90;-37.07
belem;2012;0.074882;-5.53;-52.29
belo_horizonte;2012;0.082827;-18.10;-44.38
boa_vista;2012;0.060284;1.89;-61.22
campo_grande;2012;0.094838;-20.51;-54.54
cuiaba;2012;0.088836;-12.64;-55.42
curitiba;2012;0.110911;-24.89;-51.55
distrito_federal;2012;0.093529;-15.83;-47.86
florianopolis;2012;0.099461;-27.33;-49.44
fortaleza;2012;0.086391;-3.71;-38.54
goiania;2012;0.068421;-16.64;-49.31
joao_pessoa;2012;0.086383;-7.06;-35.55
macapa;2012;0.062424;1.41;-51.77
maceio;2012;0.094125;-9.71;-35.73
manaus;2012;0.071209;-3.07;-61.66
natal;2012;0.098940;-5.22;-36.52
palmas;2012;0.057920;-10.25;-48.25
porto_alegre;2012;0.100901;-30.01;-51.22
porto_velho;2012;0.065947;-11.22;-62.80
recife;2012;0.107720;-8.28;-35.07
rio_branco;2012;0.078219;-8.77;-70.55
rio_de_janeiro;2012;0.091124;-22.84;-43.15
salvador;2012;0.083086;-12.96;-38.51
sao_luis;2012;0.072239;-2.55;-44.30
sao_paulo;2012;0.115141;-23.55;-46.64
teresina;2012;0.064187;-8.28;-43.68
vitoria;2012;0.104229;-19.19;-40.34
aracaju;2013;0.076725;-10.90;-37.07
belem;2013;0.074680;-5.53;-52.29
belo_horizonte;2013;0.101227;-18.10;-44.38
boa_vista;2013;0.064516;1.89;-61.22
campo_grande;2013;0.104156;-20.51;-54.54
cuiaba;2013;0.093686;-12.64;-55.42
curitiba;2013;0.105074;-24.89;-51.55
distrito_federal;2013;0.080366;-15.83;-47.86
florianopolis;2013;0.091002;-27.33;-49.44
fortaleza;2013;0.095599;-3.71;-38.54
goiania;2013;0.085902;-16.64;-49.31
joao_pessoa;2013;0.089094;-7.06;-35.55
macapa;2013;0.068753;1.41;-51.77
maceio;2013;0.107685;-9.71;-35.73
manaus;2013;0.081164;-3.07;-61.66
natal;2013;0.099182;-5.22;-36.52
palmas;2013;0.046429;-10.25;-48.25
porto_alegre;2013;0.108261;-30.01;-51.22
porto_velho;2013;0.063460;-11.22;-62.80
recife;2013;0.094311;-8.28;-35.07
rio_branco;2013;0.077118;-8.77;-70.55
rio_de_janeiro;2013;0.100505;-22.84;-43.15
salvador;2013;0.079592;-12.96;-38.51
